id,workId,volumeNumber,isbn,releaseDate,editionKind,isRepresentative,evidenceId
dungeon-meshi-v1,dungeon-meshi,1,9784047301535,2015-01-15,standard,true,ev-dungeon-meshi
kingdom-v1,kingdom,1,9784088770796,2006-05-19,standard,true,ev-kingdom
fullmetal-alchemist-v1,fullmetal-alchemist,1,9784757506206,2002-01-22,standard,true,ev-fullmetal-alchemist
death-note-v1,death-note,1,9784088736211,2004-04-02,standard,true,ev-death-note
spy-family-v1,spy-family,1,9784088820118,2019-07-04,standard,true,ev-spy-family
frieren-v1,frieren,1,9784098501809,2020-08-18,standard,true,ev-frieren
chainsaw-man-v1,chainsaw-man,1,9784088817804,2019-03-04,standard,true,ev-chainsaw-man
blue-lock-v1,blue-lock,1,9784065134009,2018-11-16,standard,true,ev-blue-lock
monster-v1,monster,1,9784091836519,1995-06-30,standard,true,ev-monster
yotsuba-to-v1,yotsuba-to,1,9784048690669,2003-08-27,standard,true,ev-yotsuba-to
blame-v1,blame,1,9784063141825,1998-06-20,standard,true,ev-blame
one-piece-v1,one-piece,1,9784088725093,1997-12-24,standard,true,ev-one-piece
naruto-v1,naruto,1,9784088728407,2000-03-03,standard,true,ev-naruto
dragon-ball-v1,dragon-ball,1,9784088518312,1985-09-10,standard,true,ev-dragon-ball
attack-on-titan-v1,attack-on-titan,1,9784063842760,2010-03-17,standard,true,ev-attack-on-titan
demon-slayer-v1,demon-slayer,1,9784088807232,2016-06-03,standard,true,ev-demon-slayer
jujutsu-kaisen-v1,jujutsu-kaisen,1,9784088815169,2018-07-04,standard,true,ev-jujutsu-kaisen
my-hero-academia-v1,my-hero-academia,1,9784088802640,2014-11-04,standard,true,ev-my-hero-academia
hunter-x-hunter-v1,hunter-x-hunter,1,9784088725710,1998-06-04,standard,true,ev-hunter-x-hunter
jojo-bizarre-adventure-v1,jojo-bizarre-adventure,1,9784088511269,1987-08-10,standard,true,ev-jojo-bizarre-adventure
berserk-v1,berserk,1,9784592135746,1990-11-26,standard,true,ev-berserk
vinland-saga-v1,vinland-saga,1,9784063144239,2006-08-23,standard,true,ev-vinland-saga
vagabond-v1,vagabond,1,9784063286199,1999-03-22,standard,true,ev-vagabond
golden-kamuy-v1,golden-kamuy,1,9784088900827,2015-01-19,standard,true,ev-golden-kamuy
made-in-abyss-v1,made-in-abyss,1,9784812483800,2013-07-31,standard,true,ev-made-in-abyss
land-of-the-lustrous-v1,land-of-the-lustrous,1,9784063879063,2013-07-23,standard,true,ev-land-of-the-lustrous
mushishi-v1,mushishi,1,9784063142556,2000-11-20,standard,true,ev-mushishi
dr-stone-v1,dr-stone,1,9784088811840,2017-07-04,standard,true,ev-dr-stone
promised-neverland-v1,promised-neverland,1,9784088808727,2016-12-02,standard,true,ev-promised-neverland
erased-v1,erased,1,9784041205570,2013-01-25,standard,true,ev-erased
20th-century-boys-v1,20th-century-boys,1,9784091855312,2000-01-29,standard,true,ev-20th-century-boys
pluto-v1,pluto,1,9784091874313,2004-09-30,standard,true,ev-pluto
ghost-in-the-shell-v1,ghost-in-the-shell,1,9784063132489,1991-10-02,standard,true,ev-ghost-in-the-shell
akira-v1,akira,1,9784061037113,1984-09-14,standard,true,ev-akira
witch-hat-atelier-v1,witch-hat-atelier,1,9784063886900,2017-01-23,standard,true,ev-witch-hat-atelier
mob-psycho-100-v1,mob-psycho-100,1,9784091241023,2012-11-16,standard,true,ev-mob-psycho-100
natsumes-book-of-friends-v1,natsumes-book-of-friends,1,9784592171584,2005-10-05,standard,true,ev-g1c-natsumes-book-of-friends
march-comes-in-like-a-lion-v1,march-comes-in-like-a-lion,1,9784592145110,2008-02-22,standard,true,ev-g1c-march-comes-in-like-a-lion
a-silent-voice-v1,a-silent-voice,1,9784063949735,2013-11-15,standard,true,ev-g1c-a-silent-voice
your-lie-in-april-v1,your-lie-in-april,1,9784063713015,2011-09-16,standard,true,ev-g1c-your-lie-in-april
kaguya-sama-v1,kaguya-sama,1,9784088904320,2016-03-18,standard,true,ev-g1c-kaguya-sama
horimiya-v1,horimiya,1,9784757535435,2012-03-27,standard,true,ev-g1c-horimiya
kimi-ni-todoke-v1,kimi-ni-todoke,1,9784088460611,2006-05-25,standard,true,ev-g1c-kimi-ni-todoke
nana-v1,nana,1,9784088562094,2000-05-15,standard,true,ev-g1c-nana
skip-and-loafer-v1,skip-and-loafer,1,9784065142097,2019-01-23,standard,true,ev-g1c-skip-and-loafer
bocchi-the-rock-v1,bocchi-the-rock,1,9784832270725,2019-02-27,standard,true,ev-g1c-bocchi-the-rock
haikyu-v1,haikyu,1,9784088704531,2012-06-04,standard,true,ev-g1c-haikyu
hajime-no-ippo-v1,hajime-no-ippo,1,9784063115321,1990-02-09,standard,true,ev-g1c-hajime-no-ippo
beyond-the-clouds-v1,beyond-the-clouds,1,9784065291962,2022-10-20,standard,true,ev-g1-replacement-beyond-the-clouds
beyond-the-clouds-v2,beyond-the-clouds,2,9784065291979,2023-01-19,standard,false,ev-g1-replacement-beyond-the-clouds
beyond-the-clouds-v3,beyond-the-clouds,3,9784065291993,2023-04-20,standard,false,ev-g1-replacement-beyond-the-clouds
noragami-stray-god-v1,noragami-stray-god,1,9784063712940,2011-07-15,standard,true,ev-g1-replacement-noragami-stray-god
noragami-stray-god-v2,noragami-stray-god,2,9784063713084,2011-10-17,standard,false,ev-g1-replacement-noragami-stray-god
noragami-stray-god-v3,noragami-stray-god,3,9784063713237,2012-02-17,standard,false,ev-g1-replacement-noragami-stray-god
chis-sweet-adventures-v1,chis-sweet-adventures,1,9784063931839,2017-03-23,standard,true,ev-g2-reuse-bib-chis-sweet-adventures
lovely-muco-v1,lovely-muco,1,9784063524154,2012-04-23,standard,true,ev-g2-reuse-bib-lovely-muco
penguin-and-house-v1,penguin-and-house,1,9784065183526,2020-04-09,standard,true,ev-g2-reuse-bib-penguin-and-house
sheetas-little-big-world-v1,sheetas-little-big-world,1,9784065280966,2022-06-22,standard,true,ev-g2-reuse-bib-sheetas-little-big-world
fairy-tail-v1,fairy-tail,1,9784063637717,2006-12-15,standard,true,ev-g2-reuse-bib-fairy-tail
fire-force-v1,fire-force,1,9784063955675,2016-02-17,standard,true,ev-g2-reuse-bib-fire-force
the-seven-deadly-sins-v1,the-seven-deadly-sins,1,9784063848021,2013-02-15,standard,true,ev-g2-reuse-bib-the-seven-deadly-sins
tokyo-revengers-v1,tokyo-revengers,1,9784063959383,2017-05-17,standard,true,ev-g2-reuse-bib-tokyo-revengers
medalist-v1,medalist,1,9784065207833,2020-09-23,standard,true,ev-g2-fresh-a-bib-medalist
chihayafuru-v1,chihayafuru,1,9784063192391,2008-05-13,standard,true,ev-g2-fresh-a-bib-chihayafuru
that-time-i-got-reincarnated-as-a-slime-v1,that-time-i-got-reincarnated-as-a-slime,1,9784063765786,2015-10-30,standard,true,ev-g2-fresh-a-bib-that-time-i-got-reincarnated-as-a-slime
welcome-to-the-ballroom-v1,welcome-to-the-ballroom,1,9784063713299,2012-05-17,standard,true,ev-g2-fresh-a-bib-welcome-to-the-ballroom
a-sign-of-affection-v1,a-sign-of-affection,1,9784065180624,2019-12-13,standard,true,ev-g2-fresh-a-bib-a-sign-of-affection
heavenly-delusion-v1,heavenly-delusion,1,9784065119761,2018-07-23,standard,true,ev-g2-fresh-a-bib-heavenly-delusion
ajin-v1,ajin,1,9784063878684,2013-03-07,standard,true,ev-g2-fresh-a-bib-ajin
historie-v1,historie,1,9784063143584,2004-10-21,standard,true,ev-g2-fresh-a-bib-historie
what-did-you-eat-yesterday-v1,what-did-you-eat-yesterday,1,9784063726480,2007-11-22,standard,true,ev-g2-fresh-a-bib-what-did-you-eat-yesterday
the-full-time-wife-escapist-v1,the-full-time-wife-escapist,1,9784063409116,2013-06-13,standard,true,ev-g2-fresh-a-bib-the-full-time-wife-escapist
dance-dance-danseur-v1,dance-dance-danseur,1,9784091874498,2016-02-12,standard,true,ev-g2-fresh-a-bib-dance-dance-danseur
chi-on-the-movements-of-the-earth-v1,chi-on-the-movements-of-the-earth,1,9784098607785,2020-12-11,standard,true,ev-g2-fresh-a-bib-chi-on-the-movements-of-the-earth
mystery-to-iu-nakare-v1,mystery-to-iu-nakare,1,9784098700295,2018-01-10,standard,true,ev-g2-fresh-a-bib-mystery-to-iu-nakare
aoashi-v1,aoashi,1,9784091868923,2015-04-30,standard,true,ev-g2-fresh-a-bib-aoashi
blood-on-the-tracks-v1,blood-on-the-tracks,1,9784091896230,2017-09-08,standard,true,ev-g2-fresh-a-bib-blood-on-the-tracks
7seeds-v1,7seeds,1,9784091380135,2002-03-26,standard,true,ev-g2-fresh-a-bib-7seeds
mieruko-chan-v1,mieruko-chan,1,9784040656588,2019-04-22,standard,true,ev-g2-fresh-a-bib-mieruko-chan
the-summer-hikaru-died-v1,the-summer-hikaru-died,1,9784041122730,2022-03-04,standard,true,ev-g2-fresh-a-bib-the-summer-hikaru-died
my-love-story-with-yamada-kun-at-lv999-v1,my-love-story-with-yamada-kun-at-lv999,1,9784040645209,2020-02-21,standard,true,ev-g2-fresh-a-bib-my-love-story-with-yamada-kun-at-lv999
metamorphose-no-engawa-v1,metamorphose-no-engawa,1,9784041068304,2018-05-08,standard,true,ev-g2-fresh-a-bib-metamorphose-no-engawa
real-v1,real,1,9784088761435,2001-03-19,standard,true,ev-g2-fresh-a-bib-real
summer-time-rendering-v1,summer-time-rendering,1,9784088813394,2018-02-02,standard,true,ev-g2-fresh-a-bib-summer-time-rendering
kowloon-generic-romance-v1,kowloon-generic-romance,1,9784088914886,2020-02-19,standard,true,ev-g2-fresh-a-bib-kowloon-generic-romance
